STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20050401,258,0,0,1030,0,0,146,0,0,280,0,0,-15,0,0,135,0,0,23,0,0,79,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20050501,120,0,0,276,0,0,28,0,0,260,0,0,-15,0,0,179,0,0,57,0,0,118,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20050601,273,0,0,597,0,0,0,0,0,340,0,0,85,0,0,280,0,0,166,0,0,223,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20050701,66,0,0,272,0,0,0,0,0,360,0,0,105,0,0,295,0,0,181,0,0,238,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20050801,736,0,0,1328,0,0,0,0,0,340,0,0,120,0,0,274,0,0,166,0,0,220,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20050901,388,0,0,1182,0,0,0,0,0,315,0,0,55,0,0,240,0,0,129,0,0,184,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20051001,176,0,0,384,0,0,0,0,0,270,0,0,-10,0,0,150,0,0,67,0,0,109,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20051101,288,0,0,1192,0,0,208,0,0,200,0,0,-140,0,0,83,0,0,3,0,0,43,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20051201,170,0,0,656,0,0,480,0,0,45,0,0,-170,0,0,-11,0,0,-65,0,0,-38,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060101,264,0,0,834,0,0,158,0,0,100,0,0,-155,0,0,27,0,0,-44,0,0,-9,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060201,243,0,0,1157,0,0,590,0,0,70,0,0,-170,0,0,-8,0,0,-86,0,0,-47,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060301,104,0,0,555,0,0,30,0,0,205,0,0,-125,0,0,58,0,0,-41,0,0,9,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060401,348,0,0,770,0,0,8,0,0,250,0,0,-50,0,0,142,0,0,25,0,0,83,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060501,284,0,0,802,0,0,0,0,0,345,0,0,-10,0,0,205,0,0,83,0,0,144,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060601,172,0,0,474,0,0,0,0,0,335,0,0,70,0,0,248,0,0,141,0,0,195,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060701,292,0,0,775,0,0,0,0,0,355,0,0,110,0,0,288,0,0,176,0,0,232,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060801,182,0,0,508,0,0,0,0,0,370,0,0,95,0,0,265,0,0,157,0,0,211,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20060901,176,0,0,1192,0,0,0,0,0,275,0,0,35,0,0,195,0,0,110,0,0,152,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20061001,322,0,0,1276,0,0,0,0,0,260,0,0,-25,0,0,130,0,0,41,0,0,86,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20061101,274,0,0,854,0,0,0,0,0,150,0,0,-55,0,0,86,0,0,11,0,0,49,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20061201,212,0,0,610,0,0,64,2,2,135,0,0,-150,0,0,46,0,0,-21,0,0,13,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110101,94,0,0,570,0,0,466,0,0,110,0,0,-225,0,0,-36,0,0,-109,0,0,-72,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110201,142,0,0,668,0,0,512,0,0,95,0,0,-180,0,0,-12,0,0,-98,0,0,-55,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110301,239,0,0,1063,0,0,272,0,0,140,0,0,-155,0,0,33,0,0,-51,0,0,-9,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110401,140,0,0,884,0,0,48,0,0,230,0,0,-35,0,0,124,0,0,21,0,0,72,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110501,290,0,0,1166,0,0,0,0,0,330,0,0,30,0,0,192,0,0,96,0,0,144,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110601,282,0,0,1258,0,0,0,0,0,335,0,0,75,0,0,243,0,0,142,0,0,192,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110701,142,0,0,364,0,0,0,0,0,365,0,0,140,0,0,300,0,0,183,0,0,241,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110801,214,0,0,893,0,0,0,0,0,310,0,0,115,0,0,269,0,0,163,0,0,216,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20110901,288,0,0,965,0,0,0,0,0,305,0,0,50,0,0,222,0,0,129,0,0,175,0,0
GHCND:CA006157012,RICHMOND HILL CA,240,43.8833,-79.45,20111101,382,0,0,934,0,0,20,0,0,185,0,0,-45,0,0,103,0,0,22,0,0,62,0,0
